item,country,year,sales
hoodie,Ukraine,2015,75
hoodie,Ukraine,2016,70
hoodie,Ukraine,2017,42
hoodie,Ukraine,2018,94
hoodie,Ukraine,2019,112
hoodie,Lithuania,2010,93
hoodie,Lithuania,2011,95
hoodie,Lithuania,2012,151
hoodie,Lithuania,2013,93
hoodie,Lithuania,2014,16
hoodie,Lithuania,2015,144
hoodie,Lithuania,2016,99
hoodie,Lithuania,2017,140
hoodie,Lithuania,2018,44
hoodie,Lithuania,2019,47
hoodie,Latvia,2010,65
hoodie,Latvia,2011,122
hoodie,Latvia,2012,68
hoodie,Latvia,2013,157
hoodie,Latvia,2014,54
hoodie,Latvia,2015,29
hoodie,Latvia,2016,156
hoodie,Latvia,2017,50
hoodie,Latvia,2018,76
hoodie,Latvia,2019,17
jeans,Russia,2010,148
jeans,Russia,2011,23
jeans,Russia,2012,130
jeans,Russia,2013,103
jeans,Russia,2014,50
jeans,Russia,2015,11
jeans,Russia,2016,72
jeans,Russia,2017,92
jeans,Russia,2018,159
jeans,Russia,2019,50
jeans,Belarus,2010,44
jeans,Belarus,2011,75
jeans,Belarus,2012,147
jeans,Belarus,2013,152
jeans,Belarus,2014,71
jeans,Belarus,2015,90
jeans,Belarus,2016,149
jeans,Belarus,2017,125
jeans,Belarus,2018,112
jeans,Belarus,2019,72
jeans,Ukraine,2010,32
jeans,Ukraine,2011,23
jeans,Ukraine,2012,62
jeans,Ukraine,2013,80
jeans,Ukraine,2014,29
jeans,Ukraine,2015,113
jeans,Ukraine,2016,93
jeans,Ukraine,2017,79
jeans,Ukraine,2018,15
jeans,Ukraine,2019,149
jeans,Lithuania,2010,83
jeans,Lithuania,2011,129
jeans,Lithuania,2012,37
jeans,Lithuania,2013,71
jeans,Lithuania,2014,37
jeans,Lithuania,2015,89
jeans,Lithuania,2016,80
jeans,Lithuania,2017,15
jeans,Lithuania,2018,72
jeans,Lithuania,2019,88
jeans,Latvia,2010,49
jeans,Latvia,2011,81
jeans,Latvia,2012,117
jeans,Latvia,2013,112
jeans,Latvia,2014,160
jeans,Latvia,2015,20
jeans,Latvia,2016,22
jeans,Latvia,2017,26
jeans,Latvia,2018,15
jeans,Latvia,2019,49
t-shirt,Russia,2010,118
t-shirt,Russia,2011,141
t-shirt,Russia,2012,101
t-shirt,Russia,2013,116
t-shirt,Russia,2014,154
t-shirt,Russia,2015,118
t-shirt,Russia,2016,69
t-shirt,Russia,2017,117
t-shirt,Russia,2018,85
t-shirt,Russia,2019,142
t-shirt,Belarus,2010,114
t-shirt,Belarus,2011,66
t-shirt,Belarus,2012,50
t-shirt,Belarus,2013,17
t-shirt,Belarus,2014,22
t-shirt,Belarus,2015,34
t-shirt,Belarus,2016,40
t-shirt,Belarus,2017,62
t-shirt,Belarus,2018,127
t-shirt,Belarus,2019,43
t-shirt,Ukraine,2010,160
t-shirt,Ukraine,2011,11
t-shirt,Ukraine,2012,141
t-shirt,Ukraine,2013,122
t-shirt,Ukraine,2014,106
t-shirt,Ukraine,2015,135
t-shirt,Ukraine,2016,65
t-shirt,Ukraine,2017,124
t-shirt,Ukraine,2018,137
t-shirt,Ukraine,2019,10
t-shirt,Lithuania,2010,27
t-shirt,Lithuania,2011,59
t-shirt,Lithuania,2012,37
t-shirt,Lithuania,2013,72
t-shirt,Lithuania,2014,124
t-shirt,Lithuania,2015,159
t-shirt,Lithuania,2016,17
t-shirt,Lithuania,2017,159
t-shirt,Lithuania,2018,101
t-shirt,Lithuania,2019,114
t-shirt,Latvia,2010,57
t-shirt,Latvia,2011,111
t-shirt,Latvia,2012,98
t-shirt,Latvia,2013,53
t-shirt,Latvia,2014,49
t-shirt,Latvia,2015,138
t-shirt,Latvia,2016,100
t-shirt,Latvia,2017,37
t-shirt,Latvia,2018,59
t-shirt,Latvia,2019,79
